role,location,title,company,description,created
data analyst,Delhi,Data Analyst,Alpha Consultants,"We are seeking an experienced Data Scientist to join our team. The ideal candidate will have a passion for data analytics and a strong desire to work with big data to create meaningful insights that drive business decisions. As a Data Scientist, you will be responsible for developing and implementin",2025-06-06T20:45:39Z
data analyst,Delhi,Data Analyst,SveltetechTechnologies Pvt Ltd,"Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Resp",2021-02-15T04:27:43Z
data analyst,Delhi,Data Analyst,Qrata,"Job Title: Data Analyst Job Brief: The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. ",2024-01-07T15:08:07Z
data analyst,Delhi,Data Analyst,Qrata,"Job Title Data Analyst Job Brief The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Da",2024-01-07T15:07:49Z
data analyst,Delhi,Data Analyst,Growth Hub Consultants,Job Overview We are hiring a qualified candidate for a Data Analyst role in our company. You will be responsible for data mining and analysis. You will be conducting an analysis on available data and preparing a report of the same. These reports will further help us in taking appropriate decisions a,2025-06-27T05:53:28Z
data analyst,Delhi,Data Analyst,Jobdost,"What you will do: Understand the process of CaaStle business teams, KPIs, and pain points Build scalable data products, self-service tools, data cubes to analyze and present data associated with acquisition, retention, product performance, operations, client services, etc. Closely partner with data ",2023-10-02T13:22:26Z
data analyst,Delhi,Data Analyst- Marketing,Unnati,"Are you looking for a team that is built on comradeship, lets you embrace your individuality and also pays you a handsome compensation? Then read on. Our client is one of the largest shopping and cashback website, that enables all its members to find products from various e-commerce sites like Amazo",2021-10-23T04:34:53Z
data analyst,Delhi,Product Data Analysts Collibra,Sureminds Solutions,"• Managing, configuring, and monitoring the internal instances of the One Data Catalog platform directly. • Mandatory : Experience capturing and analyzing requirements (internal and external) and translating them into a viable product • Mandatory : Creating data governance operating models, includin",2025-06-06T20:46:01Z
data analyst,Delhi,Data Analyst -CEO’s Office,People First Consultants,"JOB DESCRIPTION – Data Analyst - CEO’s Office Job Title: Data Analyst – CEO’s Office Location: Delhi Education: Bachelor’s/Master’s in Data Science, Economics, Statistics, Finance, or a related field We are seeking a highly skilled and driven Data Analyst to join our CEO’s office, providing crucial ",2025-05-20T23:22:12Z
data analyst,Delhi,Data Analyst - Sales Support,Panacea Biotec,Job Summary - Are you passionate about turning data into actionable insights? Do you enjoy empowering sales teams with the information they need to succeed? We are looking for an experienced and dynamic Data Analyst - Sales Support to join our team and help drive smarter business decisions. The Idea,2025-07-14T06:40:20Z
